"id","category_id","manufacturer_id","name","sku"
3011,3043,2069,"Pin kiềm CMOS (Vỉ 5 viên)",3043206910347
3012,3043,2069,"Thuốc lá Thăng Long mềm (10 bao = 1 cây)",3043206910356
3013,3043,2069,"Thuốc lá Thăng Long cứng (10 bao = 1 cây)",3043206910365
3014,3043,2069,"Sting đỏ (24chaix1két)",3043206910374
3015,3043,2069,"Sting vàng (24chaix1két)",3043206910383
3016,3043,2069,"Bò húc thái(24lon/thùng)",3043206910392
3017,3043,2069,"Cocacola (24chaixkét)",3043206910408
3018,3043,2069,"Thuốc lá VINATABA (10 bao = 1 cây)",3043206910417
3019,3043,2069,"Mì tôm hảo hảo xào tôm hành (32 gói/thùng)",3043206910426
3020,3043,2069,"Mì tôm hảo hảo tôm xào chua ngọt (32 gói/thùng)",3043206910435
3021,3043,2069,"Bình xịt làm sạch bàn phím Jourking",3043206910444
3022,3043,2069,"Coca Cola chai pet",3043206910453
3023,3043,2069,"Sprite chai pet",3043206910462
3024,3043,2069,"Fanta chai pet",3043206910471
3025,3043,2069,"Samurai chai pet",3043206910480
3026,3043,2069,"Quà tặng thức uống",3043206910499
3027,3043,2069,"Tranh Formect  LMHT ",3043206910505
3028,3043,2069,"Tranh đồng hồ LMHT",3043206910514
3029,3043,2069,"Thẻ Mobifone 50k",3043206910523
3030,3043,2069,"Túi dây rút",3043206910532
3031,3043,2069,"Bộ thố cao cấp",3043206910541
3032,3043,2069,"Bia",3043206910550
3033,3043,2069,"KASPERSKY INTERNET SECURITY (1PC)",3043206910569
3034,3043,2069,"Đầu nối HDMI",3043206910578
3035,3043,2069,"Cáp HDMI 5M",3043206910587
3036,3043,2069,"Ba lô",3043206910596
3037,3010,2023,"Chuột CoolerPlus CPM X6 (Đen đỏ)",3010202310620
3038,3010,2023,"Chuột CoolerPlus CPM X5 Plus Gcafé",3010202310639
3039,3010,2089,"Chuột Newmen G10 (Vàng)",3010208910477
3040,3010,2089,"Chuột Newmen G10 (Đỏ)",3010208910486
3041,3018,2071,"USB Kingston 16GB-DT101 G2",3018207110106
3042,3010,2089,"Chuột Newmen G10 (Đen)",3010208910495
3043,3004,2052,"Nguồn Golden Field Dragon ATX- 500ALC, 500W (80 Plus)",3004205210153
3044,3010,2089,"Chuột Newmen N600 (Đỏ)",3010208910501
3045,3002,2087,"Vga MSI RX 480 GAMING X 4G",3002208710498
3046,3010,2089,"Chuột Newmen N600 (Tím)",3010208910510
3047,3006,2005,"Bộ nhớ trong Adata DDR4 Z1 bộ kit 2*4G/3000 (màu Vàng) Tản nhiệt XPG Z1",3006200510214
3048,3010,2089,"Chuột Newmen N700 (Đỏ)",3010208910529
3049,3010,2089,"Chuột Newmen N700 (Đen)",3010208910538
3050,3010,2089,"Chuột Newmen Ironman G306 (Xanh)",3010208910547
3051,3010,2089,"Chuột Newmen Ironman G306 (Đen)",3010208910556
3052,3017,2172,"Bàn phím Sumtax Robot (Phím cơ, Full Led, Đen)",3017217210026
3053,3028,2083,"Camera Microtech C168AHD",3028208310038
3054,3001,2050,"Mainboard Gigabyte GA-B250M-D3V",3001205010866
3055,3004,2003,"Nguồn PSU Acbel HK 400W - 8cm",3004200310227
3056,3010,2041,"Chuột E-Blue Silenz EMS145 (Đen)",3010204110501
3057,3010,2041,"Chuột E-Blue Silenz EMS145 (Đỏ)",3010204110510
3058,3012,2077,"Tai nghe Lightning V7.1 có RUNG",3012207710203
3059,3012,2077,"Tai nghe Lightning V7.1 không rung",3012207710212
3060,3017,2023,"Bàn phím CoolerPlus CPK C180 (không led)",3017202310474
3061,3018,2071,"USB Flash 32GB Kingston - DT100G3/32",3018207110115
3062,3006,2005,"RAM Adata 8Gb (2x4Gb) DDR4-2400- XPG Z1 (AX4U2400W4G16-DWZ)",3006200510223
3063,3012,2137,"Tai nghe Z Gaming Z-197 (Xanh)",3012213710578
3064,3006,2054,"Gskill Aegis 8GB Bus 2400 DDR4",3006205410274
3065,3001,2087,"Mainboard MSI B250M Pro VH DDR4 (SK1151)",3001208710763
3066,3014,2097,"LCD PHILIPS 246V5LDSB (VGA/DVI/HDMI/1ms)",3014209710199
3067,3017,2064,"Bàn phím iRocks IRK62E ( giả cơ)",3017206410161
3068,3010,2012,"Chuột Hacker Assassins G7 (Đỏ)",3010201210129
3069,3017,2089,"Bàn phím Newmen GM300 (Phím cơ, Tenkeyless, Xám)",3017208910610
3070,3017,2089,"Bàn phím Newmen GM300 (Phím cơ, Tenkeyless, Vàng)",3017208910629
3071,3017,2137,"Bàn phím Zidli GK500 (Giả cơ, PS2, Trắng xám)",3017213710227
3072,3017,2137,"Bàn phím Zidli GK500 (Giả cơ, PS2, Trắng cam)",3017213710236
3073,3017,2137,"Bàn phím Zidli GK9200 (Phím cơ, Full Led, Trắng)",3017213710245
3074,3006,2071,"Ram Kingston Fury HyperX Black 4GB DDR4 Bus 2400Mhz",3006207110332
3075,3002,2087,"Vga MSI GTX 1050 2G OC (1Fan)",3002208710504
3076,3004,2052,"Nguồn SmartCore ATX 480GT Gaming 400W (Có nguồn phụ)",3004205210162
3077,3004,2052,"Nguồn SmartCore ATX 580GT Gaming 500W (Có nguồn phụ)",3004205210171
3078,3017,2137,"Bàn phím Zidli ZK7 (Phím cơ, Viền RGB, Single Led, Đen)",3017213710254
3079,3017,2137,"Bàn phím Zidli ZK7 (Phím cơ, Viền RGB, Single Led, Trắng)",3017213710263
3080,3017,2137,"Bàn phím Zidli ZK1800 ( Viền RGB, Single Led, Xanh dương)",3017213710272
3081,3016,2120,"Combo 5 Bàn di chuột GShop",3016212010024
3082,3010,2116,"Combo chuột SteelSeries Rival 300 CS:GO Hyperbeast Edition + Bàn di SteelSeries QcK+ CSGO HYPERBEAST Edition",3010211610364
3083,3017,2116,"Combo SteelSeries Apex M260 FrostBlue (Blue Switch) US + SteelSeries Siberia 200 (White)",3017211610093
3084,3012,2137,"Tai nghe Gaming Zidli GPTX GS-66 ( Sound 7.1 / LED 7 màu) (White)",3012213710587
3085,3012,2137,"Tai nghe Gaming Zidli GPTX GS-66 ( Sound 7.1 / LED 7 màu) (Black)",3012213710596
3086,3037,2116,"Combo SteelSeries Rival 300 CS:GO Hyperbeast Edition + SteelSeries QcK+ CSGO HYPERBEAST Edition",3037211610024
3087,3037,2116,"Combo SteelSeries Rival 300 Silver + SteelSeries Siberia 200 (Black)",3037211610033
3088,3037,2104,"Combo Razer BlackWidow X Tournament Edition Chroma + SteelSeries QcK Frost Blue Edition",3037210410029
3089,3001,2087,"Combo MSI Z170A Gaming M9 ACK + Intel Core i5-6400 2.7 GHz / 6MB / HD 530 Graphics/ Socket 1151 (Skylake).",3001208710772
3090,3010,2116,"SteelSeries Apex 100 Gaming Keyboard (Entry Level)-US",3010211610373
3091,3010,2116,"SteelSeries Siberia 200 (White)",3010211610382
3092,3012,2173,"Giá treo tai nghe Crossline - Gold/Silver/Red",3012217310020
3093,3016,2116,"Bàn di chuột SteelSeries QcK Frost Blue Edition",3016211610067
3094,3014,2034,"LCD Dell E2016HV 21.5\"(16:9/DSUB/DP)",3014203410233
3095,204,2120,"Ly Gcafe",204212010028
